symbol,timestamp,open_price,high_price,low_price,close_price,volume
AAPL,2026-06-26 14:20:00-04:00,280.8599853515625,280.92999267578125,280.5899963378906,280.7568054199219,175959
AAPL,2026-06-26 14:21:00-04:00,280.7698974609375,280.9657897949219,280.67010498046875,280.7099914550781,85998
AAPL,2026-06-26 14:22:00-04:00,280.69000244140625,280.8399963378906,280.4700012207031,280.57000732421875,167331
AAPL,2026-06-26 14:23:00-04:00,280.57000732421875,280.6000061035156,280.4012145996094,280.4750061035156,92551
AAPL,2026-06-26 14:24:00-04:00,280.4599914550781,280.489013671875,279.92999267578125,280.17999267578125,408932
AAPL,2026-06-26 14:25:00-04:00,280.1449890136719,280.1498107910156,279.8299865722656,279.8999938964844,142725
AAPL,2026-06-26 14:26:00-04:00,279.9100036621094,280.1499938964844,279.8999938964844,280.135009765625,161048
AAPL,2026-06-26 14:27:00-04:00,280.1499938964844,280.29998779296875,280.1099853515625,280.2099914550781,108171
AAPL,2026-06-26 14:28:00-04:00,280.2099914550781,280.2300109863281,279.5,280.0400085449219,296117
AAPL,2026-06-26 14:29:00-04:00,280.0199890136719,280.260009765625,280.0199890136719,280.19000244140625,66925
AAPL,2026-06-26 14:30:00-04:00,280.19500732421875,280.5799865722656,280.0899963378906,280.57000732421875,175212
AAPL,2026-06-26 14:31:00-04:00,280.57000732421875,280.8299865722656,280.4700012207031,280.739990234375,217620
AAPL,2026-06-26 14:32:00-04:00,280.75,281.1300048828125,280.6600036621094,281.0799865722656,227335
AAPL,2026-06-26 14:33:00-04:00,281.05999755859375,281.7200012207031,281.0199890136719,281.55999755859375,285014
AAPL,2026-06-26 14:34:00-04:00,281.57000732421875,281.80999755859375,281.4599914550781,281.7193908691406,207889
AAPL,2026-06-26 14:35:00-04:00,281.7200012207031,281.82000732421875,281.6199951171875,281.69500732421875,168310
AAPL,2026-06-26 14:36:00-04:00,281.7200012207031,281.7349853515625,281.44000244140625,281.614990234375,216357
AAPL,2026-06-26 14:37:00-04:00,281.62750244140625,281.62750244140625,281.2850036621094,281.3301086425781,161603
AAPL,2026-06-26 14:38:00-04:00,281.32598876953125,281.3500061035156,280.8399963378906,280.9219970703125,303262
AAPL,2026-06-26 14:39:00-04:00,280.94000244140625,281.0,280.7799987792969,280.8500061035156,223012
AAPL,2026-06-26 14:40:00-04:00,280.8299865722656,281.0299987792969,280.82000732421875,280.9750061035156,207700
AAPL,2026-06-26 14:41:00-04:00,280.9750061035156,281.55999755859375,280.8999938964844,281.2799987792969,266425
AAPL,2026-06-26 14:42:00-04:00,281.2950134277344,281.4200134277344,280.95001220703125,280.989990234375,165392
AAPL,2026-06-26 14:43:00-04:00,281.0,281.3699951171875,280.9800109863281,281.3135070800781,202321
AAPL,2026-06-26 14:44:00-04:00,281.29998779296875,281.44000244140625,281.1499938964844,281.1700134277344,191817
AAPL,2026-06-26 14:45:00-04:00,281.1650085449219,281.3299865722656,281.0751953125,281.31500244140625,160671
AAPL,2026-06-26 14:46:00-04:00,281.31500244140625,281.3299865722656,281.1050109863281,281.1050109863281,178205
AAPL,2026-06-26 14:47:00-04:00,281.1050109863281,281.2300109863281,281.0299987792969,281.1400146484375,283312
AAPL,2026-06-26 14:48:00-04:00,281.1499938964844,281.17999267578125,280.57000732421875,280.6099853515625,330856
AAPL,2026-06-26 14:49:00-04:00,280.6499938964844,281.1099853515625,280.5899963378906,280.7900085449219,437509
AAPL,2026-06-26 14:50:00-04:00,280.7850036621094,280.90008544921875,280.70001220703125,280.80499267578125,217520
AAPL,2026-06-26 14:51:00-04:00,280.80499267578125,280.84991455078125,280.510009765625,280.5299987792969,243746
AAPL,2026-06-26 14:52:00-04:00,280.5299987792969,280.8500061035156,280.29998779296875,280.760009765625,196847
AAPL,2026-06-26 14:53:00-04:00,280.79998779296875,280.8299865722656,280.3565979003906,280.6300048828125,256176
AAPL,2026-06-26 14:54:00-04:00,280.6000061035156,280.760009765625,280.260009765625,280.4700012207031,158023
AAPL,2026-06-26 14:55:00-04:00,280.4700012207031,280.8299865722656,280.3599853515625,280.75,160068
AAPL,2026-06-26 14:56:00-04:00,280.75,280.7900085449219,280.6000061035156,280.6300048828125,117269
AAPL,2026-06-26 14:57:00-04:00,280.6300048828125,280.7300109863281,280.54998779296875,280.6099853515625,173935
AAPL,2026-06-26 14:58:00-04:00,280.6099853515625,280.69000244140625,280.4200134277344,280.4800109863281,204057
AAPL,2026-06-26 14:59:00-04:00,280.4801025390625,280.760009765625,280.4700012207031,280.7200012207031,166504
AAPL,2026-06-26 15:00:00-04:00,280.7149963378906,281.0199890136719,280.69000244140625,280.80999755859375,268519
AAPL,2026-06-26 15:01:00-04:00,280.8299865722656,280.9049987792969,280.6300048828125,280.82000732421875,238470
AAPL,2026-06-26 15:02:00-04:00,280.8299865722656,281.29998779296875,280.7900085449219,281.19000244140625,228202
AAPL,2026-06-26 15:03:00-04:00,281.20001220703125,281.3999938964844,281.05999755859375,281.20001220703125,215988
AAPL,2026-06-26 15:04:00-04:00,281.2200012207031,281.2200012207031,280.9100036621094,280.9599914550781,337874
AAPL,2026-06-26 15:05:00-04:00,280.9700012207031,281.25,280.92498779296875,280.95001220703125,328881
AAPL,2026-06-26 15:06:00-04:00,280.94000244140625,280.95001220703125,280.3699951171875,280.8500061035156,310569
